feature,value,contribution
total_assets,3.701779990903471,6.022485391921314
financial_balance,3.1550760246862515,0.19578777074037018
insurance_balance,2.640149412356748,0.19552214357911626
deposit_balance,3.075478884323227,0.1413629960474439
fund_balance,5.800343554591496,0.06782948811902823
asset_cumulative_growth,-0.1240389751182353,0.03813529615704932
monthly_income,1.3754263006915235,0.009257620541104836
product_count,2.8778479543873066,0.0026318346421316417
lifecycle_stage_忠诚客户,1.0,-0.002303369000830024
app_financial_view_time,-0.2154288649651567,0.0013898088005539903
credit_card_monthly_expense,-0.9847765018870008,-0.001089910413603203
occupation_type_互联网从业者,0.0,0.0007489414319978816
lifecycle_stage_成长客户,0.0,-0.000731331181012409
investment_monthly_count,1.6325480454756047,0.0007234731030109486
lifecycle_stage_成熟客户,0.0,-0.0006401655167914186
age,0.3645848681860669,-0.0004888984160930437
lifecycle_stage_价值客户,0.0,0.0003326451960470962
app_login_count,-0.7588446023884654,0.00016933448488934243
asset_growth_rate,-1.2032562415802617,-0.00011573892340039561
asset_mom_change,-1.6964901256658935,-5.21824560481712e-05
fund_balance_rolling_max,5.609671088643838,0.0
fund_balance_rolling_mean,5.474028465020851,0.0
financial_balance_rolling_std,1.8624248171972295,0.0
financial_balance_rolling_max,3.3648668073934918,0.0
financial_balance_rolling_mean,3.502648212938944,0.0
total_assets_rolling_std,0.0628378500312667,0.0
total_assets_rolling_max,4.050567139392392,0.0
total_assets_rolling_mean,4.102879344346567,0.0
occupation_type_专业人士,1.0,0.0
occupation_type_事业单位,0.0,0.0
lifecycle_stage_新客户,0.0,0.0
financial_repurchase_count,-0.3695946105523208,0.0
occupation_type_企业高管,0.0,0.0
occupation_type_传统行业,0.0,0.0
occupation_type_私营业主,0.0,0.0
occupation_type_金融从业者,0.0,0.0
city_level_一线城市,1.0,0.0
city_level_二线城市,0.0,0.0
marriage_status_已婚,1.0,0.0
marriage_status_未婚,0.0,0.0
fund_balance_rolling_std,6.26759524058129,0.0
